system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
2170,344,7.41036472373105,565,0,0.3486297,0.5913763,0.12117943,10,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.661007831746252,42.512770820956355]}"
2171,358,7.41036472373105,575,0,0.31426036,0.5836451,0.081979185,7,222.13991256399268,37.6697937011719,3.505724221939015,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.6520246789050566,42.512770820956355]}"
2172,345,7.655822901029694,571,0,0.27057794,0.5330164,0.04538905,4,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.643041526063862,42.512770820956355]}"
2173,335,7.655822901029694,601,0,0.30068898,0.5746202,0.06787879,8,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.634058373222667,42.512770820956355]}"
2174,2,7.655822901029694,654,0,0.36111844,0.65964615,0.093683764,4,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.625075220381471,42.512770820956355]}"
2175,123,7.655822901029694,598,0,0.47204798,0.7462492,0.2016919,1,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.616092067540276,42.512770820956355]}"
2176,248,7.655822901029694,631,0,0.31787094,0.63629544,0.08521058,3,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.607108914699081,42.512770820956355]}"
2177,329,7.655822901029694,677,0,0.31019136,0.5781292,0.07151956,1,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.598125761857886,42.512770820956355]}"
2178,42,7.655822901029694,645,0,0.27404642,0.52674896,0.06313787,3,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.58914260901669,42.512770820956355]}"
2179,22,7.655822901029694,627,0,0.31559432,0.57288134,0.06988294,3,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.580159456175496,42.512770820956355]}"
2180,9,7.655822901029694,617,0,0.3609073,0.6242038,0.10669078,3,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.5711763033343,42.512770820956355]}"
2181,356,7.655822901029694,615,0,0.32595897,0.6242623,0.06426986,4,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.562193150493105,42.512770820956355]}"
2182,324,7.655822901029694,625,0,0.26741934,0.56403285,0.04193132,5,209.743189531995,36.5623718261719,3.6225041873123573,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.553209997651909,42.512770820956355]}"
2183,286,7.704154001451457,683,0,0.36278278,0.6298003,0.12294568,9,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.544226844810715,42.512770820956355]}"
2184,280,7.704154001451457,849,0,0.24885023,0.5785153,0.031346425,10,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.535243691969519,42.512770820956355]}"
2185,286,7.704154001451457,933,0,0.24720638,0.599396,0.021172892,3,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.526260539128324,42.512770820956355]}"
2186,42,7.704154001451457,918,0,0.42892286,0.6929403,0.16620198,4,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.5172773862871285,42.512770820956355]}"
2187,43,7.704154001451457,864,0,0.44162947,0.71863455,0.15380862,6,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.508294233445934,42.512770820956355]}"
2188,40,7.704154001451457,818,0,0.4190081,0.68855464,0.12561093,4,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.4993110806047385,42.512770820956355]}"
2189,299,7.704154001451457,797,0,0.4283196,0.7004974,0.13752769,3,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.490327927763543,42.512770820956355]}"
2190,258,7.704154001451457,894,0,0.32108465,0.63986164,0.06528918,6,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.481344774922348,42.512770820956355]}"
2191,257,7.704154001451457,949,0,0.3613451,0.6371813,0.09851826,3,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.472361622081153,42.512770820956355]}"
2192,327,7.704154001451457,979,0,0.40726027,0.6810561,0.14661054,3,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.463378469239958,42.512770820956355]}"
2193,289,7.704154001451457,994,0,0.32784116,0.6141678,0.08736336,3,212.04163404150123,34.8104187011719,3.923851382521879,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.454395316398762,42.512770820956355]}"
2194,255,7.930063442093683,1044,0,0.2752569,0.5675162,0.056201734,5,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.445412163557567,42.512770820956355]}"
2195,246,7.930063442093683,1119,0,0.2243685,0.5357365,0.064785376,7,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.436429010716372,42.512770820956355]}"
2196,243,7.930063442093683,1211,0,0.29617485,0.573466,0.08623447,5,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.427445857875177,42.512770820956355]}"
2197,318,7.930063442093683,1233,0,0.3858071,0.672497,0.12017774,2,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.418462705033981,42.512770820956355]}"
2198,8,7.930063442093683,1246,0,0.46226415,0.68756425,0.210718,2,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.409479552192786,42.512770820956355]}"
2199,2,7.930063442093683,1226,0,0.4878686,0.7004203,0.24135993,3,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.400496399351591,42.512770820956355]}"
